CALLE;NUMERO;M2;DOLARES;U_S_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
ACHAVAL;700;48;57000;1187.5;2;15;FRENTE;;;1;SI;BALCON;PARQUE CHACABUCO;7;-58.44691365754894;-34.632602934301339
ACHAVAL;700;69;86700;1256.5;3;A ESTRENAR;FRENTE;;;2;;BALCON;PARQUE CHACABUCO;7;-58.44691365754894;-34.632602934301339
ACHEGA;3500;63;65000;1031.7;3;20;FRENTE;;;;SI;BALCON;VILLA URQUIZA;12;-58.504329776269834;-34.569057314043569
ACOSTA, MARIANO;100;67;55000;820.9;3;25;CONTRAFRENTE;;;;SI;BALCON;VELEZ SARSFIELD;10;-58.482459904556208;-34.634066977566548
ACOSTA, MARIANO;100;60;49000;816.7;3;40;FRENTE;;;;;BALCON;VELEZ SARSFIELD;10;-58.482459904556208;-34.634066977566548
ACOSTA, MARIANO;100;53;44000;830.2;3;0;FRENTE;;;;;;VELEZ SARSFIELD;10;-58.482459904556208;-34.634066977566548
ACOSTA, MARIANO;300;50;49700;994.0;3;30;FRENTE;;;;SI;;VELEZ SARSFIELD;10;-58.479796653423648;-34.636203124246961
ACOYTE;100;50;56000;1120.0;0;0;;;;;SI;BALCON;CABALLITO;6;-58.437222892947339;-34.617163129226817
ACOYTE;100;101;105000;1039.6;3;50;FRENTE;;;2;SI;BALCON;CABALLITO;6;-58.437222892947339;-34.617163129226817
ACOYTE;200;53;59000;1113.2;0;0;;;;;;;CABALLITO;6;-58.437739336390507;-34.615960265697659
ACOYTE;200;54;73000;1351.9;3;0;CONTRAFRENTE;SI;SI;1;;BALCON;CABALLITO;6;-58.437739336390507;-34.615960265697659
ACOYTE;200;74;85000;1148.6;4;31;LATERAL;;SI;2;SI;;CABALLITO;6;-58.437739336390507;-34.615960265697659
ACOYTE;200;79;79000;1000.0;0;0;;SI;;1;;TERRAZA;CABALLITO;6;-58.437739336390507;-34.615960265697659
ACOYTE;500;72;56000;777.8;3;50;;;;2;SI;BALCON;CABALLITO;6;-58.438539146105306;-34.612873841870922
ACOYTE;500;70;56000;800.0;3;50;FRENTE;;;;SI;BALCON;CABALLITO;6;-58.438539146105306;-34.612873841870922
ACOYTE;500;98;95000;969.4;4;35;;SI;;2;SI;BALCON;CABALLITO;6;-58.438539146105306;-34.612873841870922
ACOYTE;900;128;64800;506.3;3;45;;;;1;;PATIO;CABALLITO;6;-58.440278230611355;-34.607767690006568
ACOYTE;900;80;68000;850.0;3;48;;;;;SI;;CABALLITO;6;-58.440278230611355;-34.607767690006568
ACOYTE;1100;48;47500;989.6;2;20;FRENTE;;;;SI;BALCON;VILLA CRESPO;15;-58.440304856922658;-34.605858523941912
ACOYTE;1300;81;67000;827.2;4;0;FRENTE;;;;SI;BALCON;VILLA CRESPO;15;-58.441975469754517;-34.60447460691627
ACUÑA DE FIGUEROA, FRANCISC;700;55;65000;1181.8;3;0;;;;;;BALCON;ALMAGRO;5;-58.422633646677014;-34.604661534156051
ACUÑA DE FIGUEROA, FRANCISC;1400;32;45000;1406.3;1;15;;;;1;SI;;PALERMO;14;-58.421348114190515;-34.596427201349933
AÑASCO;2400;62;45000;725.8;3;5;;;;;;PATIO;PATERNAL;15;-58.458513647589534;-34.599240826846362
AÑASCO;2400;57;41000;719.3;3;5;FRENTE;;;;SI;BALCON;PATERNAL;15;-58.458513647589534;-34.599240826846362
AÑASCO;2400;58;47000;810.3;3;5;FRENTE;;;;SI;BALCON;PATERNAL;15;-58.458513647589534;-34.599240826846362
AGOTE, LUIS Dr.;2400;270;540000;2000.0;5;60;FRENTE;SI;SI;2;SI;BALCON;RECOLETA;2;-58.395567145459651;-34.58589685317785
AGOTE, LUIS Dr.;2500;100;170000;1700.0;0;70;;;SI;;SI;;RECOLETA;2;-58.394063616501754;-34.584010694683236
AGRELO;3300;53;60000;1132.1;3;A ESTRENAR;FRENTE;;SI;;;BALCON;BALVANERA;3;-58.412619380670598;-34.618197756080257
AGRELO;3300;50;54000;1080.0;3;A ESTRENAR;;;SI;;;BALCON;BALVANERA;3;-58.412619380670598;-34.618197756080257
AGRELO;3300;56;77000;1375.0;3;A ESTRENAR;CONTRAFRENTE;;;;;PATIO;BALVANERA;3;-58.412619380670598;-34.618197756080257
AGRELO;4200;38;42000;1105.3;2;50;FRENTE;;;;;BALCON;ALMAGRO;5;-58.425572777084518;-34.61935107599578
AGUERO;700;52;49000;942.3;0;0;CONTRAFRENTE;;;;;;BALVANERA;3;-58.411272461966938;-34.602897135533681
AGUERO;1100;53;59900;1130.2;3;35;FRENTE;;;;;BALCON;RECOLETA;2;-58.410129632336556;-34.598070317522051
AGUERO;1131;86;99000;1151.2;4;60;;;;;SI;;RECOLETA;2;-58.409970184197448;-34.596015294651842
AGUERO;1300;105;160000;1523.8;3;0;;;SI;;;BALCON;RECOLETA;2;-58.409457599122099;-34.595683330288857
AGUERO;1400;52;70000;1346.2;0;0;;;;;;;RECOLETA;2;-58.408770933605695;-34.594534961318722
